session_date,option_type,otm_offset_points,selection_status,ticker,underlying_ticker,expiration_date,strike_price,target_strike,spot_for_selection,strike_distance_from_spot,exercise_style,shares_per_contract,primary_exchange,reference_query_underlying,reference_query_mode
2026-03-03,call,5,selected,O:SPXW260303C06830000,SPX,2026-03-03,6830,6831.92,6826.92,3.0799999999999272,european,100,XCBO,SPX,as_of
2026-03-03,call,10,selected,O:SPXW260303C06835000,SPX,2026-03-03,6835,6836.92,6826.92,8.079999999999927,european,100,XCBO,SPX,as_of
2026-03-03,call,15,selected,O:SPXW260303C06840000,SPX,2026-03-03,6840,6841.92,6826.92,13.079999999999927,european,100,XCBO,SPX,as_of
2026-03-03,call,20,selected,O:SPXW260303C06845000,SPX,2026-03-03,6845,6846.92,6826.92,18.079999999999927,european,100,XCBO,SPX,as_of
2026-03-03,call,25,selected,O:SPXW260303C06850000,SPX,2026-03-03,6850,6851.92,6826.92,23.079999999999927,european,100,XCBO,SPX,as_of
2026-03-03,call,30,selected,O:SPXW260303C06855000,SPX,2026-03-03,6855,6856.92,6826.92,28.079999999999927,european,100,XCBO,SPX,as_of
2026-03-03,put,0,selected,O:SPXW260303P06825000,SPX,2026-03-03,6825,6826.92,6826.92,-1.9200000000000728,european,100,XCBO,SPX,as_of
2026-03-03,put,5,selected,O:SPXW260303P06820000,SPX,2026-03-03,6820,6821.92,6826.92,-6.920000000000073,european,100,XCBO,SPX,as_of
2026-03-03,put,10,selected,O:SPXW260303P06815000,SPX,2026-03-03,6815,6816.92,6826.92,-11.920000000000073,european,100,XCBO,SPX,as_of
2026-03-03,put,15,selected,O:SPXW260303P06810000,SPX,2026-03-03,6810,6811.92,6826.92,-16.920000000000073,european,100,XCBO,SPX,as_of
2026-03-03,put,20,selected,O:SPXW260303P06805000,SPX,2026-03-03,6805,6806.92,6826.92,-21.920000000000073,european,100,XCBO,SPX,as_of
2026-03-03,put,25,selected,O:SPXW260303P06800000,SPX,2026-03-03,6800,6801.92,6826.92,-26.920000000000073,european,100,XCBO,SPX,as_of
2026-03-03,put,30,selected,O:SPXW260303P06795000,SPX,2026-03-03,6795,6796.92,6826.92,-31.920000000000073,european,100,XCBO,SPX,as_of
2026-03-05,call,0,selected,O:SPXW260305C06785000,SPX,2026-03-05,6785,6784.96,6784.96,0.03999999999996362,european,100,XCBO,SPX,as_of
2026-03-05,call,5,selected,O:SPXW260305C06790000,SPX,2026-03-05,6790,6789.96,6784.96,5.039999999999964,european,100,XCBO,SPX,as_of
2026-03-05,call,10,selected,O:SPXW260305C06795000,SPX,2026-03-05,6795,6794.96,6784.96,10.039999999999964,european,100,XCBO,SPX,as_of
2026-03-05,call,15,selected,O:SPXW260305C06800000,SPX,2026-03-05,6800,6799.96,6784.96,15.039999999999964,european,100,XCBO,SPX,as_of
2026-03-05,call,20,selected,O:SPXW260305C06805000,SPX,2026-03-05,6805,6804.96,6784.96,20.039999999999964,european,100,XCBO,SPX,as_of
2026-03-05,call,25,selected,O:SPXW260305C06810000,SPX,2026-03-05,6810,6809.96,6784.96,25.039999999999964,european,100,XCBO,SPX,as_of
2026-03-05,call,30,selected,O:SPXW260305C06815000,SPX,2026-03-05,6815,6814.96,6784.96,30.039999999999964,european,100,XCBO,SPX,as_of
2026-03-05,put,0,selected,O:SPXW260305P06785000,SPX,2026-03-05,6785,6784.96,6784.96,0.03999999999996362,european,100,XCBO,SPX,as_of
2026-03-05,put,5,selected,O:SPXW260305P06780000,SPX,2026-03-05,6780,6779.96,6784.96,-4.960000000000036,european,100,XCBO,SPX,as_of
2026-03-05,put,10,selected,O:SPXW260305P06775000,SPX,2026-03-05,6775,6774.96,6784.96,-9.960000000000036,european,100,XCBO,SPX,as_of
2026-03-05,put,15,selected,O:SPXW260305P06770000,SPX,2026-03-05,6770,6769.96,6784.96,-14.960000000000036,european,100,XCBO,SPX,as_of
