dataset,ticker,session_date,rows,file_path,status,message
stock_minute_1,SPY,2023-05-09,798,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-09\data.parquet,ok,
stock_minute_1,SPY,2023-05-10,793,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-10\data.parquet,ok,
stock_minute_1,SPY,2023-05-11,798,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-11\data.parquet,ok,
stock_minute_1,SPY,2023-05-12,784,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-12\data.parquet,ok,
stock_minute_1,SPY,2023-05-15,794,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-15\data.parquet,ok,
stock_minute_1,SPY,2023-05-16,823,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-16\data.parquet,ok,
stock_minute_1,SPY,2023-05-17,809,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-17\data.parquet,ok,
stock_minute_1,SPY,2023-05-18,850,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-18\data.parquet,ok,
stock_minute_1,SPY,2023-05-19,812,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-19\data.parquet,ok,
stock_minute_1,SPY,2023-05-22,805,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-22\data.parquet,ok,
stock_minute_1,SPY,2023-05-23,787,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-23\data.parquet,ok,
stock_minute_1,SPY,2023-05-24,908,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-24\data.parquet,ok,
stock_minute_1,SPY,2023-05-25,858,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-25\data.parquet,ok,
stock_minute_1,SPY,2023-05-26,777,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-26\data.parquet,ok,
stock_minute_1,SPY,2023-05-29,0,,empty,No qualifying bars
stock_minute_1,SPY,2023-05-30,845,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-30\data.parquet,ok,
stock_minute_1,SPY,2023-05-31,818,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-05-31\data.parquet,ok,
stock_minute_1,SPY,2023-06-01,829,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-01\data.parquet,ok,
stock_minute_1,SPY,2023-06-02,799,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-02\data.parquet,ok,
stock_minute_1,SPY,2023-06-05,769,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-05\data.parquet,ok,
stock_minute_1,SPY,2023-06-06,771,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-06\data.parquet,ok,
stock_minute_1,SPY,2023-06-07,794,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-07\data.parquet,ok,
stock_minute_1,SPY,2023-06-08,792,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-08\data.parquet,ok,
stock_minute_1,SPY,2023-06-09,759,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-09\data.parquet,ok,
stock_minute_1,SPY,2023-06-12,824,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-12\data.parquet,ok,
stock_minute_1,SPY,2023-06-13,858,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-13\data.parquet,ok,
stock_minute_1,SPY,2023-06-14,799,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-14\data.parquet,ok,
stock_minute_1,SPY,2023-06-15,868,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-15\data.parquet,ok,
stock_minute_1,SPY,2023-06-16,831,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-16\data.parquet,ok,
stock_minute_1,SPY,2023-06-19,0,,empty,No qualifying bars
stock_minute_1,SPY,2023-06-20,825,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-20\data.parquet,ok,
stock_minute_1,SPY,2023-06-21,784,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-21\data.parquet,ok,
stock_minute_1,SPY,2023-06-22,797,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-22\data.parquet,ok,
stock_minute_1,SPY,2023-06-23,783,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-23\data.parquet,ok,
stock_minute_1,SPY,2023-06-26,826,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-26\data.parquet,ok,
stock_minute_1,SPY,2023-06-27,814,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-27\data.parquet,ok,
stock_minute_1,SPY,2023-06-28,812,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-28\data.parquet,ok,
stock_minute_1,SPY,2023-06-29,812,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-29\data.parquet,ok,
stock_minute_1,SPY,2023-06-30,787,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-06-30\data.parquet,ok,
stock_minute_1,SPY,2023-07-03,468,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-03\data.parquet,ok,
stock_minute_1,SPY,2023-07-04,0,,empty,No qualifying bars
stock_minute_1,SPY,2023-07-05,784,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-05\data.parquet,ok,
stock_minute_1,SPY,2023-07-06,801,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-06\data.parquet,ok,
stock_minute_1,SPY,2023-07-07,753,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-07\data.parquet,ok,
stock_minute_1,SPY,2023-07-10,798,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-10\data.parquet,ok,
stock_minute_1,SPY,2023-07-11,810,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-11\data.parquet,ok,
stock_minute_1,SPY,2023-07-12,768,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-12\data.parquet,ok,
stock_minute_1,SPY,2023-07-13,829,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-13\data.parquet,ok,
stock_minute_1,SPY,2023-07-14,783,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-14\data.parquet,ok,
stock_minute_1,SPY,2023-07-17,781,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-17\data.parquet,ok,
stock_minute_1,SPY,2023-07-18,756,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-18\data.parquet,ok,
stock_minute_1,SPY,2023-07-19,826,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-19\data.parquet,ok,
stock_minute_1,SPY,2023-07-20,783,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-20\data.parquet,ok,
stock_minute_1,SPY,2023-07-21,732,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-21\data.parquet,ok,
stock_minute_1,SPY,2023-07-24,723,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-24\data.parquet,ok,
stock_minute_1,SPY,2023-07-25,796,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-25\data.parquet,ok,
stock_minute_1,SPY,2023-07-26,794,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-26\data.parquet,ok,
stock_minute_1,SPY,2023-07-27,814,C:\Users\hkhat\OneDrive\Desktop\Project\Dissertation\data_extended_2023_2026\raw\stock_minute_1\ticker=SPY\date=2023-07-27\data.parquet,ok,
